index,positive_score,tags,is_controversial,text
0,0.9,"['爱情', '永恒']",False,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。
0,0.9,"['震撼', '爱情', '经典']",False,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。
0,0.9,"['情感', '台词', '感动']",False,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。
0,0.9,"['经典', '童年回忆', '感人']",False,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。
0,0.9,"['经典', '感动', '结局']",False,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。
0,0.2,['评价一般'],False,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。
0,0.9,"['经典', '爱情', '灾难']",False,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。
0,0.7,"['回忆', '票价']",False,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。
1,1.0,"['爱情', '永恒']",False,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。
1,0.9,"['商业电影', '导演', '经典']",False,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。
1,0.9,"['感动', '爱情']",False,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。
1,0.95,"['最爱', '灾难', '感动']",False,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。
1,0.8,"['爱情', '人性', '牺牲']",False,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。
1,0.9,"['经典场景', '怀旧']",False,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。
1,1.0,"['震撼', '五星']",False,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。
1,0.95,"['人性光辉', '经典', '感人']",False,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。
2,0.8,['经典'],False,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。
2,0.7,"['感动', '失落']",False,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。
2,0.8,"['爱情', '成长', '反思']",False,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。
2,0.9,"['经典台词', '真人真事', '满分']",False,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。
2,0.9,"['经典', '演员']",False,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。
2,0.9,"['经典', '人性', '商业片']",False,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。
2,0.7,"['个人回忆', '盗版']",False,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。
2,0.9,"['感人', '灾难', '人性']",False,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。
3,0.95,"['女性成长', '人性', '细节丰富']",False,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。
3,1.0,"['史诗', '文学', '象征']",False,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。
3,0.9,"['经典', '爱情', '台词']",False,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。
3,0.9,"['群像', '执着']",False,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。
3,1.0,"['完美', '推荐']",False,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。
3,0.9,"['经典台词', '爱情']",False,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。
